beam,meas,iadr,entries,accuracy,elapsed,elapsed_std,rss_reported,rss_reported_std,rss_decision,rss_decision_std,throughput,throughput_std,overhead,overhead_std,rate,rate_std,update
0.01,1.5,4.0,905,0.0,0.020531132734936754,0.049420049897582294,-38.194457514756394,10.074925757875874,,,2.736784243576127,21.913660493312705,27.408603052154955,48.902688063723396,30.145387295731084,52.16943706177732,4.830531132734937
0.01,1.5,4.5,904,0.0,0.018010097267349194,0.04629323278191008,-38.33413454890251,9.502129433141222,,,2.6345878333700683,23.034768159340054,26.48937440305635,47.36132987072139,29.12396223642642,51.323593529416094,5.32801009726735
0.01,1.5,5.0,869,0.0,0.014329807119069851,0.0454676641424312,-36.591823020677886,9.690563928371548,,,2.126801663217169,20.069181646236913,26.55297309391956,47.972500168553566,28.67977475713673,50.90364123910001,5.824329807119071
0.01,1.5,5.5,869,0.0,0.01891600386045095,0.0448223004746679,-37.39600288956254,9.341641663193109,,,2.924938759094731,24.75362974167872,26.021671968118167,45.828240148440926,28.9466107272129,50.60373343799346,6.328916003860451
0.01,1.5,6.0,841,0.0,0.013599781303992071,0.03697296872488356,-38.619876389650955,9.160621568416106,,,2.5622288403559086,22.05825008509379,25.030562909037428,46.596577533798275,27.592791749393335,50.294455955020176,6.823599781303993
0.01,1.5,6.5,825,0.0,0.021258556481558194,0.05040140603927235,-38.463690152133466,8.478586578783219,,,2.928195357228328,23.515044664040676,25.231954492737614,46.57441448018497,28.160149849965944,50.738122397683995,7.331258556481559
0.01,1.5,7.0,816,0.0,0.014367641187177725,0.0439746723825521,-37.61969034531537,10.403035985002118,,,2.3419792352124005,21.774371691009872,24.139522556116106,45.757796705872664,26.48150179132851,49.54618552556471,7.8243676411871785
0.01,1.5,7.5,798,0.0,0.020957530889291358,0.05485939117400432,-36.86878889188992,9.136251479768926,,,2.9210396851426697,21.981754753097956,23.732735687474946,44.619253653712306,26.653775372617613,48.32617545138532,8.330957530889291
0.01,1.5,8.0,785,0.0,0.016671381178931,0.052316842284691426,-37.73025297611318,9.173307756814712,,,2.726578689060966,21.831326403034137,23.300887046933507,44.459624790761985,26.027465735994475,48.23064083742944,8.826671381178931
0.01,1.5,8.5,765,0.0,0.018257564968529094,0.044085071179343245,-36.761210416710895,8.686739574260775,,,2.736858498689972,22.080900418755707,22.862502061232345,45.550359183778156,25.599360559922314,49.368528841090786,9.32825756496853
0.01,1.5,9.0,759,0.0,0.012366668037743134,0.038284717061211705,-37.33100658573517,9.81772539712436,,,2.2659632034632033,20.636448516251125,22.7892766955267,45.05124863939275,25.0552398989899,48.49941337243751,9.822366668037743
0.01,1.5,9.5,741,0.0,0.014262965172725864,0.042723698036242645,-38.74933360173152,9.016824905329296,,,2.5694140596514257,22.77350152503651,21.939719609130023,44.495016891982985,24.50913366878145,48.84350811770498,10.324262965172727
0.01,10.0,0.01,1108,0.0,0.0009906851427649763,0.0003298849229571093,,,,,1.8836966931440482,19.486939372618107,34.50509830432088,50.39369778873873,36.388794997464935,52.81348293919409,0.8209906851427651
0.01,10.0,0.5,1088,0.0,0.0009836957735173842,0.00044305530679423767,,,,,1.7955723298783235,20.488439765419443,33.69925454408893,51.31071957676071,35.49482687396725,54.14370131354539,1.3109836957735175
0.01,10.0,1.0,1046,0.0,0.0010359583575684527,0.000309624587383688,,,,,1.5827402470251544,19.974076800268016,33.78473791233619,51.04879217569349,35.36747815936135,53.83300062879256,1.8110359583575686
0.01,10.0,1.5,1029,0.0,0.0011149370288014594,0.0033895863408734306,-40.66822814941406,,,,1.5599584945874698,18.707336081069666,31.567249985977902,50.737538506612914,33.12720848056537,53.157967541362076,2.3111149370288016
0.01,10.0,10.0,742,0.0,0.0026605199932084904,0.021900981587486674,-33.931056703839985,5.642067563084691,,,1.9490295177160062,20.172709187957786,32.68544903847877,51.61793191447573,34.63447855619477,54.25801719959322,10.812660519993209
0.01,10.0,2.0,999,0.0,0.0010309992609797297,0.000571628904348946,,,,,1.5895696078983428,20.42673868299941,30.48923550500216,49.77413880349617,32.0788051129005,52.89405981999748,2.81103099926098
0.01,10.0,2.5,980,0.0,0.0009213175092424665,0.0003050764874419537,,,,,1.699160195892222,19.7770656063998,30.27065527065527,50.037252452586436,31.969815466547495,52.83922619637558,3.3109213175092425
0.01,10.0,3.0,954,0.0,0.0010089054547515804,0.0006753131785591551,,,,,1.568425161722061,19.18028064438518,28.80674213696186,48.57774622194966,30.375167298683916,51.354776951696046,3.811008905454752
0.01,10.0,3.5,937,0.0,0.0010045640878260072,0.0003322130946533385,,,,,1.567813144545404,20.130682028960702,28.40645149302265,48.49552369356612,29.974264637568055,51.652523613412676,4.311004564087827
0.01,10.0,4.0,907,0.0,0.0011374169699806507,0.004090530228796544,-32.15398406982422,,,,1.4476510693938545,19.456780327040214,27.651302885962455,48.60813885981926,29.098953955356308,51.5873443891519,4.811137416969981
0.01,10.0,4.5,899,0.0,0.0011658376793442365,0.0006906773157558027,,,,,1.3935146637061708,20.29460500979968,26.783236192062173,47.24101592844382,28.17675085576834,50.68466010487323,5.3111658376793445
0.01,10.0,5.0,876,0.0,0.0010655350881080105,0.0005998174888547785,,,,,1.3924325623532456,17.550762819850817,26.24244273115536,47.67122918660237,27.634875293508607,50.07484049285225,5.811065535088108
0.01,10.0,5.5,854,0.0,0.0010273774837163349,0.0005986757612190272,,,,,1.3464074135977862,18.677086293312332,26.104054079150185,47.657375776293215,27.450461492747973,50.495165292472024,6.3110273774837164
0.01,10.0,6.0,837,0.0,0.0010203289729292673,0.00042930715151925556,,,,,1.4564371093321635,20.54510019647632,25.713254377307454,47.428328109106864,27.169691486639618,50.95727491289472,6.81102032897293
0.01,10.0,6.5,835,0.0,0.0010296256242398017,0.0002559634879126718,,,,,1.4249106296053111,19.74440132345732,24.656653534690303,46.79469828795348,26.081564164295617,50.09305611634886,7.31102962562424
0.01,10.0,7.0,827,0.0,0.0010816765523446949,0.0004453165284292012,,,,,1.3386563279470773,19.70577233157057,24.203132342840618,46.045963167903054,25.541788670787696,49.43425250608828,7.811081676552345
0.01,10.0,7.5,788,0.0,0.0010768169073889099,0.0006466160185223356,,,,,1.4039254676682869,21.184134600675105,24.23497569597879,45.85499185922931,25.638901163647077,49.83368217448624,8.31107681690739
0.01,10.0,8.0,755,0.0,0.0009953580944743376,0.00024107912200746503,,,,,1.3103467815049863,18.675157103282096,23.137654880628588,44.4357655192803,24.448001662133574,47.567411226769714,8.810995358094475
0.01,10.0,8.5,769,0.0,0.001233637875481201,0.004225827185396179,-41.84757614135742,,,,1.295165324715634,18.824080516060707,23.010580416643844,45.714798209317195,24.30574574135948,48.83216671339356,9.311233637875482
0.01,10.0,9.0,759,0.0,0.0022440873901202877,0.012729359144113491,-45.3701540629069,6.083417635201716,,,1.3217113111376206,19.115829157012424,22.63289411849763,45.79607779944826,23.954605429635254,49.01901791696459,9.812244087390122
0.01,10.0,9.5,755,0.0,0.0017185084867159563,0.010273714454249344,-37.88429260253906,14.206155977063538,,,1.4728942652329748,19.40253556623671,28.545026881720432,49.2419448186439,30.017921146953405,52.12614873601321,10.311718508486717
0.01,2.0,0.01,1106,0.0,0.001556403382561631,0.009100649410976496,-43.484798431396484,8.804266206670679,,,1.8959798140167838,22.96525707749313,35.69876011189235,50.7182308851551,37.594739925909124,54.445991987719815,0.8215564033825616
0.01,2.0,0.5,1078,0.0,0.001591742591645372,0.0095636297722907,-32.57327747344971,11.955653488704355,,,1.6554964839846917,18.580700206251706,34.15271572120732,51.122118562717105,35.808212205192014,53.344424535384924,1.3115917425916455
0.01,2.0,1.0,1045,0.0,0.0075545607571379705,0.03187086082506063,-37.307789189474924,8.313342471426203,,,1.7329566961919904,18.77510722155423,33.16867287455523,50.78695569360248,34.90162957074722,53.07403550284512,1.817554560757138
0.01,2.0,1.5,1022,0.0,0.013415127584375956,0.04484908970339665,-38.52281373612424,8.14272447576542,,,1.9690685776624157,20.83079786686807,31.787232441786102,50.0170817412803,33.75630101944852,53.013593166892875,2.323415127584376
0.01,2.0,10.0,743,0.0,0.011105556667730807,0.03814332650241115,-35.463751712087856,11.158486062330937,,,2.208342278517246,20.740678976516463,21.541121010447974,44.26422494230364,23.74946328896522,47.89939384878259,10.821105556667732
0.01,2.0,2.0,999,0.0,0.009382570589385896,0.032282266052048765,-39.09385202971982,9.26562918702344,,,1.9862038399155069,20.016520659661385,30.005233676587075,49.36155152826394,31.991437516502582,52.134672757648914,2.819382570589386
0.01,2.0,2.5,977,0.0,0.010840602394499688,0.034693329154951824,-38.859088503081225,8.841213974520096,,,2.016429823579874,24.581451688665663,29.710286822572822,49.192197511374694,31.7267166461527,53.89152013504218,3.3208406023944996
0.01,2.0,3.0,956,0.0,0.013072620375881396,0.039948569974863186,-37.36149029065204,9.478202939209764,,,2.232684164381517,21.267084970511743,28.93162273583674,48.8932781734343,31.164306900218257,52.09264796072247,3.8230726203758816
0.01,2.0,3.5,940,0.0,0.01385313399294283,0.04189633164207267,-35.87468394666615,9.2414026884118,,,2.1056626126876585,18.04990928387004,28.20083856278114,47.98661012182963,30.3065011754688,50.09735000560186,4.323853133992944
0.01,2.0,4.0,889,0.0011248593925759281,0.012538832674141059,0.039089115599796255,-38.663044371256014,8.423046958486704,-50.949337005615234,,2.103711162255466,21.493454163438436,27.486095128500192,47.893935367603945,29.589806290755657,51.382344752689534,4.822538832674142
0.01,2.0,4.5,893,0.0,0.013421123799388653,0.04851131875596983,-36.91664218902588,9.722417826661388,,,2.145428667113195,20.989738069582195,27.46032410508298,46.7853674522696,29.605752772196176,50.11591365734146,5.323421123799389
0.01,2.0,5.0,881,0.0,0.020426599716891314,0.05241169780543494,-37.39230113870957,8.725566106160693,,,2.4893725164032903,18.169802363069913,26.23948803252934,46.82836639052305,28.72886054893263,48.912070615889334,5.830426599716892
